UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
3796899	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The oddities.	"00$aLondon,$bPrinted & sold by the author,$c1789-91]"	1 v. (various pagings)	DD 2553		Not in RISM				Could be D 2553/990014327			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2587					Yes		RISM ID no. 	"990014360, 990014361, 990014362, 990014363, 990014365, 990014366, 990014368, 990014370, 990014371, 990014372, 991017302, 990014376, 990014377, 990014379, 990014381, 990014382, 990014383, 990014384, 990014385, 990014389, 991017303, 990014392, 990014393, 990014394, 990014396, 990014397"	"RISM ID no. 990014360, 990014361, 990014362, 990014363, 990014365, 990014366, 990014368, 990014370, 990014371, 990014372, 991017302, 990014376, 990014377, 990014379, 990014381, 990014382, 990014383, 990014384, 990014385, 990014389, 991017303, 990014392, 990014393, 990014394, 990014396, 990014397"
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2591		990014364							
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2594		990014367							
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2596		990014369							
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2600						Unclear; RISM search provides two possibilities			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2601		990014374				Could be D 2601/990014374			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2605		990014378				Could be D 2605/990014378			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2607		990014380				Could be D 2607/990014380			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2613		990014386				Could be D 2613/990014386			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2614		Not in RISM				Could be D 2014/990014387			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2615		Not in RISM				Could be D 2616/990014388			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2617		990014390				Could be D 2617/			
3796908	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called Private theatricals, or, Nature in Nubibus."	"00$aLondon,$bThe author,$c1791-ca. 1794]"	"score (1 v., various pagings)"	DD 2622		990014395				Might be D 2622/ 			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2639		990014412				Could be D 2639/			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2638					Yes		RISM ID no. 	"990014411, 990014413, 990014414, 990014415, 990014416, 990014418, 990014419, 990014420, 990014421, 990014423, 991017311, 990014427, 990014428, 990014429, 991017312, 990014431, 990014433, 990014434, 990014435, 990014436, 990014437, 990014438, 990014439, 991017315, 990014446, 990014447, 990014448, 990014451, 990014452, 990014453, 990014455, 990014458, 990014459, 990014460, 990014461, 990014462, 990014417"	"RISM ID no. 990014411, 990014413, 990014414, 990014415, 990014416, 990014418, 990014419, 990014420, 990014421, 990014423, 991017311, 990014427, 990014428, 990014429, 991017312, 990014431, 990014433, 990014434, 990014435, 990014436, 990014437, 990014438, 990014439, 991017315, 990014446, 990014447, 990014448, 990014451, 990014452, 990014453, 990014455, 990014458, 990014459, 990014460, 990014461, 990014462, 990014417"
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2640					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2641					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2642					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2644						Could be D 2644/			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2643					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2645					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2646					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2647					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2649		990014422				Could be D 2649/990014422			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2648					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2651		990014424				Could be D 2651/990014424			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2652		990014425				Could be D 2652/990014425			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2650					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2653					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2654					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2655					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2656					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2657					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2659		990014432				Could be D 2659/990014432			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2658					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2660					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2661					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2662					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2663					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2664					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2665					Yes		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2667		990014440				Could be D 2667/990014440			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2668		990014441				Could be D 2668/990014441			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2669						Unclear; RISM search provides three possibilities			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2666					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2671		990014444							
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2672		990014445				Could be D 2672/990014445			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2670					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2673					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2674					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2676		990014449				Could be D 2676/990014449			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2677		Not in RISM				Unclear; RISM search provides two possibilities			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2675					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2678					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2679					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2681		990014454				Could be D 2681/990014454			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2680					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2683		990014456				Could be D 2683/990014456			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2684		990014457			no	Could be D 2684/990014457			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2682					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2685					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2686					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2687					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2688					No		RISM ID no. 		RISM ID no. 
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2690		990014463			no	Unclear; RISM search provides two possibilities			
3796910	"Dibdin, Charles,1745-1814"	"10$a[Songs written and composed$cby Mr. Dibdin for his entertainment called The quizes, or, A trip to Elysium."	"00$aLondon,$bPrinted & sold by the author,$c1793]"	"score (1 v., various pagings)"	DD 2689					No		RISM ID no. 		RISM ID no. 
3796913		"00$aDaphne and Amintor;$ba comic opera in one act, as it is performed at the Theatre Royal, Drury Lane, for the voice and harpsichord.$cBy the author of The maid of the mill [I. Bickerstaffe]"	"0\$aLondon,$bR. Bremmer$c[1765]"	"[1], 30 p."		"II, 149"	Not in RISM							
3796930	"Duni, Egidio Romualdo,1709-1775"	"12$aL'ecole de la jeunesse;$bou, Le barnevelt françois, comedie en trois actes et en vers$cpar Mr Anseaume.  Représenté a Versailles ... le 24. janvier 1765."	"0\$aParis,$bL'Auteur$c[1765?]"	score (175 p.)	D 3745		990015481			no		RISM ID no. 	990015481	RISM ID no. 990015481
3796934	"Duni, Egidio Romualdo,1709-1775"	13$aLe peintre amoureux de son modéle;$bopera comique de Mr Anseaume.$cReprésentée pour la premiere fois sur le théâtre du fauxbourg St. Laurent le 26 juillet 1757.	"0\$aParis,$bL'Auteur, gravée par Melle Vendôme, imprimée par Montulay$c[1768?]"	score (97 p.)	D 3784		990015512			no		RISM ID no. 	990015512	RISM ID no. 990015512
3796936	"Duni, Egidio Romualdo,1709-1775"	"10$aLisle des foux;$bparodie de l'Arcifanfano De Goldoni.$cRepresenté pour la 1re fois a la Comedie italienne le 29 Xbre 1760.  Le 1er acte gravé par Mme Lefebvre, le 2eme acte gravé par Mme Cousineau de Ouvrard."	"0\$aParis,$bL'Auteur$c[ca. 1760]"	"score (85, 64 p.)"	D 3755		990015491			no		RISM ID no. 	990015491	RISM ID no. 990015491
3796981	"Dussek, Johann Ladislaus,1760-1812"	"10$aThree favourite airs:$bMy lodging is on the cold ground, Shepherds I have lost my love, & The countess of Sutherland's reel.  Two arr. as rondos, and one with varia., for the piano forte,$cby J.L. Dussek."	"0\$aEdinburgh,$bPrinted & sold by Corri$c[between 1790 and 1801]"	18 p.	D 4582		990016288			no		RISM ID no. 	990016288	RISM ID no. 990016288
3797008	"Elouis, Jean"	"10$aFirst volume of a selection of favorite Scots songs with accompaniments for the harp or piano forte,$bwhich may be performed on these instruments either with the voice or without it as familiar lessons; to which are added several airs with variations."	"0\$aEdinburgh,$bSold by Messrs. Gow & Shepherd$c[etc., between 1798 and 1814]"	"[7], 51, 51, 7, iv p."	E 634		990017014			No		RISM ID no. 	990017014	RISM ID no. 990017014
3797029	"Ferigo, Sebastiano"	"00$aVI [i.e. Sei] trii per due violini e violoncello,$bcinque composti da Sebastiano Ferigo ed'uno di Gaetano Pugnani."	"0\$aLondon,$bJ. Johnson$c[ca. 1765]"	"[1], 15 p."		"II, 392"	Not in RISM							
3797031	"Ferrari, G. G.(Giacomo Gotifredo),1763-1842"	"00$aFour Italian songs,$cwith piano forte accompaniment."	"0\$a[London,$c18--]"	"[1], 13 p."	F 353		990017629			No		RISM ID no. 	990017629	RISM ID no. 990017629
3797040	"Fiorillo, Federigo,1755-approximately 1823"	"00$aÉtude pour le violon,$bformant 36 caprices.  Oeuvre IIIe."	"0\$aParis,$bImbault$c[between 1806 and 1814]"	"[1], 38 p."	F 930		990018148			No		RISM ID no. 	990018148	RISM ID no. 990018148
3797053	"Flodin, Nicolaus"	"10$aDissertatio de poëseos cum musica adfinitate,$bquam ... praeside mag. Pet. Svedelio ... examini subjicit stip. reg. Nicolaus Flodin, Stockholmiensis.  In audit. Gustav. Maj. d. XII maji, anno MDCCLXXXI ..."	"0\$aUpsaliae,$bApud J. Edman$c[1781]"	14 p.		"VI, 319"	Not in RISM							
3797061	"Forkel, Johann Nikolaus,1749-1818"	00$aAllgemeine Geschichte der Musik ...	"0\$aLeipzig,$bIm Schwickertschen Verlage,$c1788-1801."	"2 v.illus., music, 10 fold. plates."		"VI, 322"	Not in RISM							
3797065	"Forkel, Johann Nikolaus,1749-1818"	"00$aAllgemeine Litteratur der Musik;$boder, Anleitung zur Kenntniss musikalischer Bücher, welche von den ältesten bis auf die neusten Zeiten bey den Griechen, Römern und den meisten neuern europäischen Nationen sind geschrieben worden.  Systematisch geordnet und nach Veranlassung mit Anmerkungen und Urtheilen begleitet."	"0\$aLeipzig,$bIm Schwickertschen Verlage,$c1792."	"xxiv, 540 p."		"VI, 323"	Not in RISM							
3797163	"Garsault, François Alexandre Pierre de,d. 1778"	"10$aNotionaire;$bou, Mémorial raisonné de ce qu'il y a d'utile et d'intéressant dans les connoissances acquises depuis la création du monde jusqu'à présent.  Avec figures en taille-douce."	"00$aParis,$bG. Desprez, imprimeur ordinaire du roi,$c1761."	"viii, 733, [3] p.plates (part fold.)"		"VI, 349"	not in RISM							
3797254	"Gesualdo, Carlo,principe di Venosa,approximately 1560-1613"	10$aMadrigali ...$ba cinqve voci.  Libro primo[-sesto] ...	"0\$aVenetia,$bStampa del Gardano; Appresso Bartholomeo Magni,$c1611-19 [v. 1, 1616]"	part 5	G 1740		990020929			no		RISM ID no. 	990020929	RISM ID no. 990020929
3797269	"Gagliano, Marco da,d. 1642"	03$aIl quarto[-sesto] libro de madrigali a cinqve voci ...	"0\$aVenetia,$bA. Gardano,$c1606-20."	parts 5	G 117		990019382			no		RISM ID no. 	990019382	RISM ID no. 990019382
3797303	"Gluck, Christoph Willibald,Ritter von,1714-1787"	10$aJphigenia in Tauris;$btragische Oper in vier Acten.  Aus dem Französischen des Guichard [i.e. Guillard] frei übersetzt von I.D. Sander.  Vollständiger Klavierauszug mit deutschem und französischem Texte.  Seiner Durchlaucht dem Fürsten Anton Radziwil in Ehrfurcht zugeeignet von Ludwig Hellwig.	"0\$aBerlin,$bA.M. Schlesinger$c[1812]"	123 p.	G 2821		990021940			No		RISM ID no. 	990021940	RISM ID no. 990021940
3797338	"Gow, Niel,1727-1807"	"00$a2d"" book of strathspeys,$breels, &c."	"0\$aEdinburgh,$bPrinted and sold by Gow & Shepherd and by J. Gow, London$c[1803?]"	"[1] p., score (36 p.)"	G 3253		990022339			No		RISM ID no. 	990022339	RISM ID no. 990022339
3797355	"Gow, Niel,1727-1807"	"12$aA fifth collection of Strathspeys, reels, &c. for the piano forte, harp, violin & violoncello /$cby Niel Gow & Son's."	"0\$aEdinburgh,$bPrinted and sold by Gow & Shepherd,$cbetween 1803 and 1811]"	"[1] p., score (36 p.)"	G 3255		990022341			No		RISM ID no. 	990022341	RISM ID no. 990022341
3797370	"Grétry, André-Ernest-Modeste,1741-1813"	12$aL'ami de la maison;$bcomédie en trois actes et en vers mêlée d'ariettes.$cReprésentée devant sa Majesté à Fontainebleau le 26. octobre 1771 ...	"0\$aParis,$bHoubaut, Gravée par J. Dezauche, Imprimée par Basset$c[ca. 1775]"	score (169 p.)	G 3920		990022922			no		RISM ID no. 	990022922	RISM ID no. 990022922
3797386	"Grétry, André-Ernest-Modeste,1741-1813"	"10$aCephale et Procris, ballet heroique.$cReprésenté ... à Versailles ... en l'année 1773 et à l'Academie royale de musique le mardi 2 mai de l'année 1775."	"0\$aParis,$bMlle J. Grétry$c[1797?]"	score (252 p.)	G 4053		990023024			no		RISM ID no. 	990023024	RISM ID no. 990023024
3797388	"Grétry, André-Ernest-Modeste,1741-1813"	"10$aColinette à la cour;$bou, La double épreuve; comédie lyrique en trois actes.$cRepresentée pour la premiere fois par l'Académie royale de musique le mardy premier janvier 1782.  Oeuvre XIX."	"0\$aParis,$bGravée par le Sr Huguet; Chez Mr Houbaut [etc.] Imprimée par Basset$c[ca. 1782]"	"[2] p., score (244 p.)"	G 4061		990023029			no		RISM ID no. 	990023029	RISM ID no. 990023029
3797393	"Grétry, André-Ernest-Modeste,1741-1813"	14$aLes deux avares;$bopéra boufon en deux actes.$cReprésenté devant sa Majesté à Fontainebleau le 27. octobre 1770 ...	"0\$aParis,$bAux adresses ordinaires [de musique] gravées par le Sr Dezauche, Imprimé par Basset$c[1780?]"	score (155 p.)	G 4079		990023040			no		RISM ID no. 	990023040	RISM ID no. 990023040
3797396	"Grétry, André-Ernest-Modeste,1741-1813"	12$aL'embarras des richesses;$bcomédie lyrique en trois actes représentée pour la premiere fois par l'Académie royale de musique le mardy 26. novemb. 1782.	0\$a[Paris?]$bImprimée par Basset$c[ca. 1782]	"[4] p., score (274 p.)"	G 4108		990023062			no		RISM ID no. 	990023062	RISM ID no. 990023062
